scope,strategy,matches,total_penka_points,average_penka_points,exact_score_rate,correct_result_rate,correct_goal_difference_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0
overall_group_stage,favorite_1_0,144,253,1.7569444444444444,0.1388888888888889,0.5763888888888888,0.3263888888888889,0.0,0.0,0.0
overall_group_stage,penka_group_strategy,144,240,1.6666666666666667,0.11805555555555555,0.5694444444444444,0.2916666666666667,-0.09027777777777778,-0.2847222222222222,0.09027777777777778
2014,favorite_1_0,48,93,1.9375,0.125,0.6458333333333334,0.3958333333333333,0.0,0.0,0.0
2014,penka_group_strategy,48,90,1.875,0.10416666666666667,0.6458333333333334,0.375,-0.0625,-0.2916666666666667,0.125
2018,favorite_1_0,48,90,1.875,0.20833333333333334,0.5416666666666666,0.375,0.0,0.0,0.0
2018,penka_group_strategy,48,89,1.8541666666666667,0.1875,0.5625,0.3541666666666667,-0.020833333333333332,-0.3125,0.20833333333333334
2022,favorite_1_0,48,70,1.4583333333333333,0.08333333333333333,0.5416666666666666,0.20833333333333334,0.0,0.0,0.0
2022,penka_group_strategy,48,61,1.2708333333333333,0.0625,0.5,0.14583333333333334,-0.1875,-0.6458333333333334,0.2916666666666667
