scope,bucket_name,bucket_value,strategy,match_count,average_penka_points,total_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0,difference_vs_calibrated_optimizer,ci_lower_95_vs_calibrated_optimizer,ci_upper_95_vs_calibrated_optimizer
group_stage_only,all,all,favorite_1_0,144,1.7569444444444444,253,0.1388888888888889,0.1875,0.25,0.4236111111111111,0.0,0.0,0.0,0.09027777777777768,-0.09027777777777778,0.2847222222222222
group_stage_only,all,all,favorite_2_0,144,1.4652777777777777,211,0.09027777777777778,0.041666666666666664,0.4444444444444444,0.4236111111111111,-0.29166666666666674,-0.5347222222222222,-0.04861111111111111,-0.20138888888888906,-0.4652777777777778,0.0696180555555562
group_stage_only,all,all,favorite_2_1,144,1.7986111111111112,259,0.1597222222222222,0.16666666666666666,0.25,0.4236111111111111,0.04166666666666674,-0.1388888888888889,0.20868055555555684,0.13194444444444442,-0.10416666666666667,0.3611111111111111
group_stage_only,all,all,favorite_3_0,144,1.3333333333333333,192,0.04861111111111111,0.034722222222222224,0.4930555555555556,0.4236111111111111,-0.42361111111111116,-0.6458333333333334,-0.20833333333333334,-0.3333333333333335,-0.5763888888888888,-0.09027777777777778
group_stage_only,all,all,draw_0_0,144,0.75,108,0.08333333333333333,0.1111111111111111,0.0,0.8055555555555556,-1.0069444444444444,-1.4652777777777777,-0.5416666666666666,-0.9166666666666667,-1.3541666666666667,-0.4722222222222222
group_stage_only,all,all,draw_1_1,144,0.7083333333333334,102,0.0625,0.13194444444444445,0.0,0.8055555555555556,-1.0486111111111112,-1.4861111111111112,-0.6041666666666666,-0.9583333333333334,-1.3958333333333333,-0.5277777777777778
group_stage_only,all,all,most_likely_score,144,1.625,234,0.09722222222222222,0.2222222222222222,0.2361111111111111,0.4444444444444444,-0.13194444444444442,-0.4515624999999999,0.1807291666666673,-0.04166666666666674,-0.3263888888888889,0.23628472222222285
group_stage_only,all,all,poisson_best_ev,144,1.6805555555555556,242,0.125,0.18055555555555555,0.2569444444444444,0.4375,-0.07638888888888884,-0.2708333333333333,0.10416666666666667,0.01388888888888884,-0.09027777777777778,0.10416666666666667
group_stage_only,all,all,calibrated_optimizer,144,1.6666666666666667,240,0.11805555555555555,0.1736111111111111,0.2777777777777778,0.4305555555555556,-0.09027777777777768,-0.2847222222222222,0.09027777777777778,0.0,0.0,0.0
group_stage_only,all,all,calibrated_optimizer_with_close_match_fallback,144,1.6388888888888888,236,0.1111111111111111,0.18055555555555555,0.2708333333333333,0.4375,-0.11805555555555558,-0.2569444444444444,0.006944444444444444,-0.0277777777777779,-0.16666666666666666,0.09722222222222222
group_stage_only,all,all,rank_gap_fixed_score_rule,144,1.7569444444444444,253,0.1388888888888889,0.1875,0.25,0.4236111111111111,0.0,0.0,0.0,0.09027777777777768,-0.09027777777777778,0.2847222222222222
group_stage_only,all,all,previous_final_recommendation_rule,144,1.7569444444444444,253,0.1388888888888889,0.1875,0.25,0.4236111111111111,0.0,0.0,0.0,0.09027777777777768,-0.09027777777777778,0.2847222222222222
