scope,bucket_name,bucket_value,strategy,match_count,average_penka_points,total_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0,difference_vs_calibrated_optimizer,ci_lower_95_vs_calibrated_optimizer,ci_upper_95_vs_calibrated_optimizer
knockout_only,all,all,favorite_1_0,48,3.2083333333333335,154,0.10416666666666667,0.16666666666666666,0.2916666666666667,0.4375,0.0,0.0,0.0,0.41666666666666696,-0.2708333333333333,1.1666666666666667
knockout_only,all,all,favorite_2_0,48,3.1041666666666665,149,0.125,0.0625,0.375,0.4375,-0.10416666666666696,-0.9166666666666666,0.6875,0.3125,-0.7083333333333334,1.3333333333333333
knockout_only,all,all,favorite_2_1,48,3.3125,159,0.14583333333333334,0.125,0.2916666666666667,0.4375,0.10416666666666652,-0.4166666666666667,0.625,0.5208333333333335,-0.2916666666666667,1.375
knockout_only,all,all,favorite_3_0,48,2.5416666666666665,122,0.041666666666666664,0.020833333333333332,0.5,0.4375,-0.666666666666667,-1.3125,-0.041666666666666664,-0.25,-1.0833333333333333,0.5625
knockout_only,all,all,draw_0_0,48,1.8333333333333333,88,0.0625,0.20833333333333334,0.0,0.7291666666666666,-1.3750000000000002,-2.9583333333333335,0.20833333333333334,-0.9583333333333333,-2.5,0.5833333333333334
knockout_only,all,all,draw_1_1,48,2.0625,99,0.14583333333333334,0.125,0.0,0.7291666666666666,-1.1458333333333335,-2.8541666666666665,0.5625,-0.7291666666666665,-2.3755208333333333,0.8958333333333334
knockout_only,all,all,most_likely_score,48,1.9791666666666667,95,0.0625,0.14583333333333334,0.14583333333333334,0.6458333333333334,-1.2291666666666667,-2.4791666666666665,0.041666666666666664,-0.8124999999999998,-1.9166666666666667,0.27135416666666856
knockout_only,all,all,poisson_best_ev,48,2.5208333333333335,121,0.08333333333333333,0.125,0.2708333333333333,0.5208333333333334,-0.6875,-1.5833333333333333,0.08333333333333333,-0.27083333333333304,-0.7708333333333334,0.0
knockout_only,all,all,calibrated_optimizer,48,2.7916666666666665,134,0.10416666666666667,0.14583333333333334,0.25,0.5,-0.41666666666666696,-1.1666666666666667,0.2708333333333333,0.0,0.0,0.0
knockout_only,all,all,calibrated_optimizer_with_close_match_fallback,48,3.375,162,0.125,0.16666666666666666,0.2916666666666667,0.4166666666666667,0.16666666666666652,-0.20833333333333334,0.6041666666666666,0.5833333333333335,0.10416666666666667,1.2291666666666667
knockout_only,all,all,rank_gap_fixed_score_rule,48,3.2083333333333335,154,0.10416666666666667,0.16666666666666666,0.2916666666666667,0.4375,0.0,0.0,0.0,0.41666666666666696,-0.2708333333333333,1.1666666666666667
knockout_only,all,all,previous_final_recommendation_rule,48,3.2083333333333335,154,0.10416666666666667,0.16666666666666666,0.2916666666666667,0.4375,0.0,0.0,0.0,0.41666666666666696,-0.2708333333333333,1.1666666666666667
