calibration_method,matches,average_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,predicted_mean_total_goals,actual_mean_total_goals,top_lambda_decile_predicted_mean_total_goals,top_lambda_decile_actual_mean_total_goals,predicted_probability_0_0,actual_rate_0_0,predicted_probability_1_0,actual_rate_1_0,predicted_probability_0_1,actual_rate_0_1,predicted_probability_1_1,actual_rate_1_1,predicted_probability_2_0,actual_rate_2_0,predicted_probability_0_2,actual_rate_0_2,predicted_probability_2_1,actual_rate_2_1,predicted_probability_1_2,actual_rate_1_2
isotonic,192,1.9583333333333333,0.11458333333333333,0.16666666666666666,0.2760416666666667,0.4427083333333333,2.4857000495150268,2.6666666666666665,3.39346537594662,2.75,0.09177411942457399,0.078125,0.10991184530801178,0.10416666666666667,0.10146784711925948,0.08854166666666667,0.11329658954652637,0.08333333333333333,0.07633193722901085,0.07291666666666667,0.06161648547245526,0.0625,0.07341347944174183,0.11458333333333333,0.06405623778082169,0.09375
uncalibrated,192,1.890625,0.11458333333333333,0.16666666666666666,0.2604166666666667,0.4583333333333333,2.4801075566263684,2.6666666666666665,3.2718090664282897,2.75,0.0897600061227569,0.078125,0.11028618992950563,0.10416666666666667,0.10068607103513476,0.08854166666666667,0.1168211496987399,0.08333333333333333,0.07586329742270495,0.07291666666666667,0.06051244021775517,0.0625,0.07586795310074745,0.11458333333333333,0.06624738552738686,0.09375
linear,192,1.8385416666666667,0.09895833333333333,0.16666666666666666,0.2760416666666667,0.4583333333333333,2.493201253185573,2.6666666666666665,3.3941554634342417,2.75,0.09044501637594549,0.078125,0.10995137625989049,0.10416666666666667,0.10034677538030427,0.08854166666666667,0.11357385072099989,0.08333333333333333,0.07708757855292926,0.07291666666666667,0.060731404847842056,0.0625,0.07415112701015007,0.11458333333333333,0.06397152482674516,0.09375
