scope,bucket_name,bucket_value,strategy,match_count,average_penka_points,total_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0,difference_vs_calibrated_optimizer,ci_lower_95_vs_calibrated_optimizer,ci_upper_95_vs_calibrated_optimizer
overall_historical_world_cup,all,all,favorite_1_0,192,2.1197916666666665,407,0.13020833333333334,0.18229166666666666,0.2604166666666667,0.4270833333333333,0.0,0.0,0.0,0.17187499999999978,-0.052083333333333336,0.41158854166666714
overall_historical_world_cup,all,all,favorite_2_0,192,1.875,360,0.09895833333333333,0.046875,0.4270833333333333,0.4270833333333333,-0.24479166666666652,-0.5260416666666666,0.041666666666666664,-0.07291666666666674,-0.390625,0.25
overall_historical_world_cup,all,all,favorite_2_1,192,2.1770833333333335,418,0.15625,0.15625,0.2604166666666667,0.4270833333333333,0.05729166666666696,-0.13033854166666664,0.23958333333333334,0.22916666666666674,-0.041666666666666664,0.5104166666666666
overall_historical_world_cup,all,all,favorite_3_0,192,1.6354166666666667,314,0.046875,0.03125,0.4947916666666667,0.4270833333333333,-0.4843749999999998,-0.7135416666666666,-0.25,-0.3125,-0.578125,-0.041666666666666664
overall_historical_world_cup,all,all,draw_0_0,192,1.0208333333333333,196,0.078125,0.13541666666666666,0.0,0.7864583333333334,-1.0989583333333333,-1.6614583333333333,-0.546875,-0.9270833333333335,-1.4635416666666667,-0.4010416666666667
overall_historical_world_cup,all,all,draw_1_1,192,1.046875,201,0.08333333333333333,0.13020833333333334,0.0,0.7864583333333334,-1.0729166666666665,-1.65625,-0.5208333333333334,-0.9010416666666667,-1.4479166666666667,-0.3697916666666667
overall_historical_world_cup,all,all,most_likely_score,192,1.7135416666666667,329,0.08854166666666667,0.203125,0.21354166666666666,0.4947916666666667,-0.4062499999999998,-0.8177083333333334,-0.026041666666666668,-0.234375,-0.5885416666666666,0.10416666666666667
overall_historical_world_cup,all,all,poisson_best_ev,192,1.890625,363,0.11458333333333333,0.16666666666666666,0.2604166666666667,0.4583333333333333,-0.22916666666666652,-0.49492187499999996,0.020833333333333332,-0.05729166666666674,-0.21354166666666666,0.057291666666666664
overall_historical_world_cup,all,all,calibrated_optimizer,192,1.9479166666666667,374,0.11458333333333333,0.16666666666666666,0.2708333333333333,0.4479166666666667,-0.17187499999999978,-0.4115885416666666,0.052083333333333336,0.0,0.0,0.0
overall_historical_world_cup,all,all,calibrated_optimizer_with_close_match_fallback,192,2.0729166666666665,398,0.11458333333333333,0.17708333333333334,0.2760416666666667,0.4322916666666667,-0.046875,-0.19270833333333334,0.09375,0.12499999999999978,-0.041666666666666664,0.3125
overall_historical_world_cup,all,all,rank_gap_fixed_score_rule,192,2.1197916666666665,407,0.13020833333333334,0.18229166666666666,0.2604166666666667,0.4270833333333333,0.0,0.0,0.0,0.17187499999999978,-0.052083333333333336,0.41158854166666714
overall_historical_world_cup,all,all,previous_final_recommendation_rule,192,2.1197916666666665,407,0.13020833333333334,0.18229166666666666,0.2604166666666667,0.4270833333333333,0.0,0.0,0.0,0.17187499999999978,-0.052083333333333336,0.41158854166666714
