scope,bucket_name,bucket_value,strategy,match_count,average_penka_points,total_penka_points,exact_score_rate,correct_goal_difference_or_draw_rate,correct_winner_only_rate,wrong_rate,difference_vs_favorite_1_0,ci_lower_95_vs_favorite_1_0,ci_upper_95_vs_favorite_1_0,difference_vs_calibrated_optimizer,ci_lower_95_vs_calibrated_optimizer,ci_upper_95_vs_calibrated_optimizer
strategy_bucket,rank_gap_bucket,0-10,favorite_1_0,65,2.523076923076923,164,0.15384615384615385,0.18461538461538463,0.2,0.46153846153846156,0.0,0.0,0.0,0.3846153846153846,-0.23076923076923078,1.0
strategy_bucket,rank_gap_bucket,0-10,favorite_2_0,65,2.046153846153846,133,0.09230769230769231,0.03076923076923077,0.4153846153846154,0.46153846153846156,-0.476923076923077,-0.9846153846153847,0.03076923076923077,-0.09230769230769242,-0.8307692307692308,0.6615384615384615
strategy_bucket,rank_gap_bucket,0-10,favorite_2_1,65,2.5692307692307694,167,0.16923076923076924,0.16923076923076924,0.2,0.46153846153846156,0.046153846153846434,-0.3384615384615385,0.4461538461538462,0.430769230769231,-0.27692307692307694,1.1384615384615384
strategy_bucket,rank_gap_bucket,0-10,favorite_3_0,65,1.7692307692307692,115,0.03076923076923077,0.0,0.5076923076923077,0.46153846153846156,-0.7538461538461538,-1.2153846153846153,-0.3076923076923077,-0.36923076923076925,-1.0153846153846153,0.26153846153846155
strategy_bucket,rank_gap_bucket,0-10,draw_0_0,65,1.2,78,0.09230769230769231,0.15384615384615385,0.0,0.7538461538461538,-1.323076923076923,-2.400384615384615,-0.19961538461538322,-0.9384615384615385,-1.9384615384615385,0.12307692307692308
strategy_bucket,rank_gap_bucket,0-10,draw_1_1,65,1.2,78,0.09230769230769231,0.15384615384615385,0.0,0.7538461538461538,-1.323076923076923,-2.4,-0.18461538461538463,-0.9384615384615385,-1.9846153846153847,0.15384615384615385
strategy_bucket,rank_gap_bucket,0-10,most_likely_score,65,1.7384615384615385,113,0.12307692307692308,0.2,0.046153846153846156,0.6307692307692307,-0.7846153846153845,-1.7230769230769232,0.2003846153846168,-0.3999999999999999,-1.2157692307692305,0.4307692307692308
strategy_bucket,rank_gap_bucket,0-10,poisson_best_ev,65,2.0615384615384613,134,0.12307692307692308,0.15384615384615385,0.2,0.5230769230769231,-0.4615384615384617,-1.0769230769230769,0.16961538461538603,-0.0769230769230771,-0.23076923076923078,0.0
strategy_bucket,rank_gap_bucket,0-10,calibrated_optimizer,65,2.1384615384615384,139,0.13846153846153847,0.15384615384615385,0.2,0.5076923076923077,-0.3846153846153846,-1.0,0.23076923076923078,0.0,0.0,0.0
strategy_bucket,rank_gap_bucket,0-10,calibrated_optimizer_with_close_match_fallback,65,2.476923076923077,161,0.13846153846153847,0.18461538461538463,0.2,0.47692307692307695,-0.04615384615384599,-0.38461538461538464,0.3076923076923077,0.3384615384615386,-0.15384615384615385,0.8926923076923091
strategy_bucket,rank_gap_bucket,0-10,rank_gap_fixed_score_rule,65,2.523076923076923,164,0.15384615384615385,0.18461538461538463,0.2,0.46153846153846156,0.0,0.0,0.0,0.3846153846153846,-0.23076923076923078,1.0
strategy_bucket,rank_gap_bucket,0-10,previous_final_recommendation_rule,65,2.523076923076923,164,0.15384615384615385,0.18461538461538463,0.2,0.46153846153846156,0.0,0.0,0.0,0.3846153846153846,-0.23076923076923078,1.0
strategy_bucket,rank_gap_bucket,10-25,favorite_1_0,67,1.5671641791044777,105,0.05970149253731343,0.14925373134328357,0.26865671641791045,0.5223880597014925,0.0,0.0,0.0,-0.08955223880596996,-0.2537313432835821,0.05970149253731343
strategy_bucket,rank_gap_bucket,10-25,favorite_2_0,67,1.7462686567164178,117,0.11940298507462686,0.05970149253731343,0.29850746268656714,0.5223880597014925,0.17910447761194015,-0.26865671641791045,0.6417910447761194,0.08955223880597019,-0.3880597014925373,0.5526119402985089
strategy_bucket,rank_gap_bucket,10-25,favorite_2_1,67,1.7313432835820894,116,0.14925373134328357,0.05970149253731343,0.26865671641791045,0.5223880597014925,0.16417910447761175,-0.08955223880597014,0.417910447761194,0.07462686567164178,-0.1791044776119403,0.31343283582089554
strategy_bucket,rank_gap_bucket,10-25,favorite_3_0,67,1.3582089552238805,91,0.04477611940298507,0.014925373134328358,0.417910447761194,0.5223880597014925,-0.20895522388059717,-0.5373134328358209,0.08955223880597014,-0.29850746268656714,-0.6567164179104478,0.04477611940298507
strategy_bucket,rank_gap_bucket,10-25,draw_0_0,67,1.2388059701492538,83,0.11940298507462686,0.11940298507462686,0.0,0.7611940298507462,-0.32835820895522394,-1.208955223880597,0.6123134328358223,-0.4179104477611939,-1.3432835820895523,0.5522388059701493
strategy_bucket,rank_gap_bucket,10-25,draw_1_1,67,1.208955223880597,81,0.08955223880597014,0.14925373134328357,0.0,0.7611940298507462,-0.35820895522388074,-1.2388059701492538,0.5675373134328372,-0.4477611940298507,-1.373134328358209,0.5074626865671642
strategy_bucket,rank_gap_bucket,10-25,most_likely_score,67,1.4477611940298507,97,0.029850746268656716,0.208955223880597,0.2537313432835821,0.5074626865671642,-0.11940298507462699,-0.7014925373134329,0.44776119402985076,-0.20895522388059695,-0.8059701492537313,0.373134328358209
strategy_bucket,rank_gap_bucket,10-25,poisson_best_ev,67,1.537313432835821,103,0.07462686567164178,0.14925373134328357,0.2537313432835821,0.5223880597014925,-0.029850746268656803,-0.44776119402985076,0.23880597014925373,-0.11940298507462677,-0.5671641791044776,0.13432835820895522
strategy_bucket,rank_gap_bucket,10-25,calibrated_optimizer,67,1.6567164179104477,111,0.07462686567164178,0.14925373134328357,0.26865671641791045,0.5074626865671642,0.08955223880596996,-0.05970149253731343,0.2537313432835821,0.0,0.0,0.0
strategy_bucket,rank_gap_bucket,10-25,calibrated_optimizer_with_close_match_fallback,67,1.6567164179104477,111,0.07462686567164178,0.14925373134328357,0.26865671641791045,0.5074626865671642,0.08955223880596996,-0.05970149253731343,0.2537313432835821,0.0,0.0,0.0
strategy_bucket,rank_gap_bucket,10-25,rank_gap_fixed_score_rule,67,1.5671641791044777,105,0.05970149253731343,0.14925373134328357,0.26865671641791045,0.5223880597014925,0.0,0.0,0.0,-0.08955223880596996,-0.2537313432835821,0.05970149253731343
strategy_bucket,rank_gap_bucket,10-25,previous_final_recommendation_rule,67,1.5671641791044777,105,0.05970149253731343,0.14925373134328357,0.26865671641791045,0.5223880597014925,0.0,0.0,0.0,-0.08955223880596996,-0.2537313432835821,0.05970149253731343
strategy_bucket,rank_gap_bucket,25-40,favorite_1_0,40,2.375,95,0.2,0.225,0.275,0.3,0.0,0.0,0.0,0.3500000000000001,0.05,0.675
strategy_bucket,rank_gap_bucket,25-40,favorite_2_0,40,1.825,73,0.075,0.05,0.575,0.3,-0.55,-1.075,0.0,-0.19999999999999996,-0.725,0.35
